Water Control Zone	River	Station	Sampling Date (MM/YYYY)	Dissolved Oxygen (mg/L)	E. coli (counts/100mL)
Deep Bay	River Ganges	GR1	09/2018	7.2	29000
Deep Bay	River Ganges	GR1	10/2018	8.3	3400
Deep Bay	River Ganges	GR1	11/2018	7.3	1400
Deep Bay	River Ganges	GR1	12/2018	9	1000
Deep Bay	River Ganges	GR1	01/2019	8.7	13000
Deep Bay	River Ganges	GR1	02/2019	8.3	2700
Deep Bay	River Ganges	GR1	03/2019	7.7	5100
Deep Bay	River Ganges	GR1	04/2019	8.1	7300
Deep Bay	River Ganges	GR1	05/2019	7.8	12000
Deep Bay	River Ganges	GR1	06/2019	7.4	9000
Deep Bay	River Ganges	GR1	07/2019	8.1	6700
Deep Bay	River Ganges	GR1	08/2019	7.5	5100
Deep Bay	River Ganges	GR1	09/2019	6.8	8700
Deep Bay	River Ganges	GR1	10/2019	5.5	900
Deep Bay	River Ganges	GR1	11/2019	4.7	580
Deep Bay	River Ganges	GR1	12/2019	4.7	3600
Deep Bay	River Ganges	GR1	01/2020	6.7	19000
Deep Bay	River Ganges	GR1	03/2020	9.2	4400
Deep Bay	River Ganges	GR1	04/2020	6	8000
Deep Bay	River Ganges	GR1	05/2020	6.8	8400
Deep Bay	River Ganges	GR1	06/2020	6.4	12000
Deep Bay	River Ganges	GR1	07/2020	7.1	3800
Deep Bay	River Ganges	GR1	08/2020	6.4	21000
Deep Bay	River Indus	IN1	09/2018	5.9	20000
Deep Bay	River Indus	IN1	10/2018	5.5	12000
Deep Bay	River Indus	IN1	11/2018	6.2	18000
Deep Bay	River Indus	IN1	12/2018	6.6	8000
Deep Bay	River Indus	IN1	01/2019	7.6	2100
Deep Bay	River Indus	IN1	02/2019	3.3	13000
Deep Bay	River Indus	IN1	03/2019	6.3	36000
Deep Bay	River Indus	IN1	04/2019	5.1	11000
Deep Bay	River Indus	IN1	05/2019	4.4	15000
Deep Bay	River Indus	IN1	06/2019	6	27000
Deep Bay	River Indus	IN1	07/2019	3.9	150000
Deep Bay	River Indus	IN1	08/2019	3.6	140000
Deep Bay	River Indus	IN1	09/2019	5.9	15000
Deep Bay	River Indus	IN1	10/2019	6.9	1100
Deep Bay	River Indus	IN1	11/2019	6.9	26000
Deep Bay	River Indus	IN1	12/2019	7	5100
Deep Bay	River Indus	IN1	01/2020	6.7	2200
Deep Bay	River Indus	IN1	03/2020	7	17000
Deep Bay	River Indus	IN1	04/2020	4.8	55000
Deep Bay	River Indus	IN1	05/2020	5.3	25000
Deep Bay	River Indus	IN1	06/2020	5.7	5500
Deep Bay	River Indus	IN1	07/2020	6.8	4800
Deep Bay	River Indus	IN1	08/2020	6	140000
Deep Bay	Kam Tin River	KT1	09/2018	7.2	42000
Deep Bay	Kam Tin River	KT1	10/2018	7.3	240000
Deep Bay	Kam Tin River	KT1	11/2018	4.6	10000
Deep Bay	Kam Tin River	KT1	12/2018	5	54000
Deep Bay	Kam Tin River	KT1	01/2019	4	250000
Deep Bay	Kam Tin River	KT1	02/2019	3.6	100000
Deep Bay	Kam Tin River	KT1	03/2019	7	280000
Deep Bay	Kam Tin River	KT1	04/2019	4.9	38000
Deep Bay	Kam Tin River	KT1	05/2019	5.8	80000
Deep Bay	Kam Tin River	KT1	06/2019	7	39000
Deep Bay	Kam Tin River	KT1	07/2019	5.9	37000
Deep Bay	Kam Tin River	KT1	08/2019	5.9	34000
Deep Bay	Kam Tin River	KT1	09/2019	6	30000
Deep Bay	Kam Tin River	KT1	10/2019	6.1	24000
Deep Bay	Kam Tin River	KT1	11/2019	6.4	19000
Deep Bay	Kam Tin River	KT1	12/2019	5.2	66000
Deep Bay	Kam Tin River	KT1	01/2020	3.9	45000
Deep Bay	Kam Tin River	KT1	03/2020	5.1	53000
Deep Bay	Kam Tin River	KT1	04/2020	3.5	68000
Deep Bay	Kam Tin River	KT1	05/2020	4.9	59000
Deep Bay	Kam Tin River	KT1	06/2020	4.7	80000
Deep Bay	Kam Tin River	KT1	07/2020	5.6	63000
Deep Bay	Kam Tin River	KT1	08/2020	6.8	56000
Southern	Mui Wo River	MW1	09/2018	7.9	350
Southern	Mui Wo River	MW1	10/2018	7.8	1400
Southern	Mui Wo River	MW1	11/2018	8.7	230
Southern	Mui Wo River	MW1	12/2018	9.6	530
Southern	Mui Wo River	MW1	01/2019	9.5	480
Southern	Mui Wo River	MW1	02/2019	9	1700
Southern	Mui Wo River	MW1	03/2019	8.6	2800
Southern	Mui Wo River	MW1	04/2019	8.4	1600
Southern	Mui Wo River	MW1	05/2019	7.5	430
Southern	Mui Wo River	MW1	06/2019	8.2	460
Southern	Mui Wo River	MW1	07/2019	7.9	420
Southern	Mui Wo River	MW1	08/2019	8.1	1000
Southern	Mui Wo River	MW1	09/2019	7.2	790
Southern	Mui Wo River	MW1	10/2019	8	1000
Southern	Mui Wo River	MW1	11/2019	8.7	3000
Southern	Mui Wo River	MW1	12/2019	9.6	170
Southern	Mui Wo River	MW1	01/2020	8.9	1300
Southern	Mui Wo River	MW1	03/2020	9.1	900
Southern	Mui Wo River	MW1	04/2020	5.1	1300
Southern	Mui Wo River	MW1	05/2020	8	1200
Southern	Mui Wo River	MW1	06/2020	7.4	600
Southern	Mui Wo River	MW1	07/2020	6.6	400
Southern	Mui Wo River	MW1	08/2020	7.7	1600
Port Shelter	Ho Chung River	PR1	09/2018	7.7	3300
Port Shelter	Ho Chung River	PR1	10/2018	7.7	4100
Port Shelter	Ho Chung River	PR1	11/2018	7.4	2100
Port Shelter	Ho Chung River	PR1	12/2018	7.6	40000
Port Shelter	Ho Chung River	PR1	01/2019	6.5	71000
Port Shelter	Ho Chung River	PR1	02/2019	6.3	130000
Port Shelter	Ho Chung River	PR1	03/2019	8.4	3200
Port Shelter	Ho Chung River	PR1	04/2019	6.5	12000
Port Shelter	Ho Chung River	PR1	05/2019	8.3	2500
Port Shelter	Ho Chung River	PR1	06/2019	7.7	1700
Port Shelter	Ho Chung River	PR1	07/2019	7.9	6400
Port Shelter	Ho Chung River	PR1	08/2019	7.8	370
Port Shelter	Ho Chung River	PR1	09/2019	7.9	1200
Port Shelter	Ho Chung River	PR1	10/2019	7	1400
Port Shelter	Ho Chung River	PR1	11/2019	6	1600
Port Shelter	Ho Chung River	PR1	12/2019	8.1	700
Port Shelter	Ho Chung River	PR1	03/2020	5.2	19000
Port Shelter	Ho Chung River	PR1	04/2020	6.3	6000
Port Shelter	Ho Chung River	PR1	05/2020	7.2	6900
Port Shelter	Ho Chung River	PR1	06/2020	7.5	1100
Port Shelter	Ho Chung River	PR1	07/2020	6.9	860
Port Shelter	Ho Chung River	PR1	08/2020	6.9	1000
Deep Bay	River Beas	RB3	09/2018	8	12000
Deep Bay	River Beas	RB3	10/2018	8.7	5600
Deep Bay	River Beas	RB3	11/2018	12	660
Deep Bay	River Beas	RB3	12/2018	8.6	9300
Deep Bay	River Beas	RB3	01/2019	7.7	39000
Deep Bay	River Beas	RB3	02/2019	8.9	9600
Deep Bay	River Beas	RB3	03/2019	8.5	12000
Deep Bay	River Beas	RB3	04/2019	4.6	55000
Deep Bay	River Beas	RB3	05/2019	5.5	20000
Deep Bay	River Beas	RB3	06/2019	4.9	39000
Deep Bay	River Beas	RB3	07/2019	8.2	38000
Deep Bay	River Beas	RB3	08/2019	5.4	9000
Deep Bay	River Beas	RB3	09/2019	5.7	7200
Deep Bay	River Beas	RB3	10/2019	6.5	1800
Deep Bay	River Beas	RB3	11/2019	9.7	48000
Deep Bay	River Beas	RB3	12/2019	8.5	14000
Deep Bay	River Beas	RB3	01/2020	8.5	20000
Deep Bay	River Beas	RB3	03/2020	8.1	7000
Deep Bay	River Beas	RB3	04/2020	4.5	23000
Deep Bay	River Beas	RB3	05/2020	5.7	27000
